"Reference","Footprint","Qty"
"C1","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","1"
"C2","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1"
"C3","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","1"
"C5","Capacitor_SMD:C_0805_2012Metric","1"
"D1","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1"
"D2","LED_SMD:LED_0805_2012Metric","1"
"F1","Fuse:Fuseholder_Clip-6.3x32mm_Littelfuse_102_122_Inline_P34.21x7.62mm_D1.98mm_Horizontal","1"
"J1, J2","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","2"
"L1","THT:L0451-AL","1"
"R1-R3, R5","Resistor_SMD:R_0805_2012Metric","4"
"R4","Resistor_SMD:R_2512_6332Metric","1"
"U1","SOIC127P1030X265-16N:MC34163-D","1"
